DEPTH,BS,GR,DTCO,DTSM,MSFL,LLD,LLS,RHOB,SP,NPHI,DRHO
819.912,8.5,46.3053,51.3981,95.6908,58.767,217.1637,216.4555,2.8479,140.875,0.1648,0.0209
820.0644,8.5,45.1102,50.6024,93.0044,136.1933,194.3387,196.7389,2.8514,140.5,0.1585,0.0241
820.2168,8.5,48.9322,50.1908,92.1823,58.5617,194.1983,197.3266,2.8702,140.0625,0.151,0.0249
820.3692,8.5,52.4581,50.348,92.3087,168.5506,192.3618,197.8798,2.8836,139.5625,0.1572,0.0223
820.5216,8.5,51.9982,50.1426,90.6069,1613.3308,180.9053,187.5054,2.8835,139,0.163,0.0063
820.674,8.5,48.4984,49.8451,90.5002,285.4815,163.1368,168.5443,2.8837,138.3125,0.1688,0.0031
820.8264,8.5,48.6348,49.5898,89.7691,528.7016,159.2303,164.8959,2.8551,138.3125,0.1731,0.0032
820.9788,8.5,52.5829,49.0737,89.19,246.7697,139.9539,146.0883,2.8386,137.8125,0.1749,-0.0006
821.1312,8.5,53.0797,48.9819,89.2081,278.0852,112.4939,117.508,2.8151,137.3125,0.1818,-0.0035
821.2836,8.5,53.7712,49.0145,89.0044,101.4032,110.5811,115.4234,2.8356,137.1875,0.181,0.0053
821.436,8.5,51.0517,49.1206,89.7434,106.4034,122.1976,128.0691,2.8379,137.0625,0.1827,0.0087
821.5884,8.5,50.9064,49.3968,89.5031,400.3413,130.8539,136.7969,2.8543,137.0625,0.1691,0.0042
821.7408,8.5,50.3604,49.4067,89.7183,1556.8774,149.438,155.6454,2.8679,136.875,0.1646,0.0048
821.8932,8.5,46.5222,49.4453,89.7488,168.3792,135.1675,142.2335,2.867,136.5625,0.1766,0.0058
822.0456,8.5,48.0325,49.1125,89.2352,183.9566,112.1298,118.3189,2.8394,136.5,0.1976,0.0012
822.198,8.5,47.4777,49.3495,89.2849,40.2863,100.291,105.8917,2.7925,136.8125,0.1992,-0.0055
822.3504,8.5,51.7254,49.2234,89.8065,52.7593,92.5154,96.6394,2.7756,136.625,0.1988,0.0008
822.5028,8.5,50.5984,48.8439,88.8921,33.6658,101.0229,105.2413,2.7408,136.375,0.1954,0.0098
822.6552,8.5,51.6993,48.703,89.4499,272.1744,105.4415,110.0523,2.7248,136.3125,0.2226,0.0238
822.8076,8.5,47.1947,48.749,89.2499,285.6223,95.5939,100.0152,2.7149,136.1875,0.2239,0.023
822.96,8.5,44.5072,48.5616,89.6912,51.4037,93.1287,98.5941,2.7502,136.0625,0.2445,0.0357
823.1124,8.5,42.6244,48.5903,88.8516,56.6602,84.2135,90.6613,2.7653,135.875,0.247,0.0377
823.2648,8.5,44.3989,48.5877,88.6051,158.1134,78.1733,84.5858,2.7229,135.625,0.2697,0.004
823.4172,8.5,46.5754,48.6726,89.0483,75.1561,80.8386,88.218,2.6933,135.375,0.2698,-0.0179
823.5696,8.5,47.2297,49.3167,89.1809,193.8802,82.3357,90.6003,2.7142,135.125,0.2496,-0.0132
823.722,8.5,47.5027,49.9699,89.986,255.5277,83.5041,91.7966,2.7126,135,0.2293,-0.0095
823.8744,8.5,46.9483,49.8912,89.7721,150.0497,83.5307,92.4985,2.6888,134.875,0.225,0.0004
824.0268,8.5,43.9452,50.0791,90.5569,730.6435,74.633,82.7719,2.6783,134.6875,0.2372,0.0167
824.1792,8.5,43.2551,50.4773,91.2894,136.9982,66.0449,72.6656,2.7042,134.6875,0.2519,0.0289
824.3316,8.5,42.1715,50.4295,92.1927,40.4791,59.9712,65.8851,2.77,134.75,0.2476,0.0441
824.484,8.5,43.3529,51.1568,92.1376,42.3033,59.3279,64.8021,2.7841,134.6875,0.2673,0.0331
824.6364,8.5,42.2685,51.6138,94.7468,130.7405,64.7597,70.1462,2.7727,134.6875,0.2605,0.0044
824.7888,8.5,42.2607,51.9795,95.5884,99.4426,76.5635,82.4002,2.7627,134.75,0.2493,-0.0088
